A_ldd_effective_rank,A_ldd_matrix_rank,A_ldd_spectral_entropy,A_ldd_variance,B_ldd_effective_rank,B_ldd_matrix_rank,B_ldd_spectral_entropy,B_ldd_variance,M_max,M_mean,M_std,case,center_min_sep,center_radius,component1_angle,component1_beta,component1_is_unique,component1_kappa,component1_skew,component2_angle,component2_beta,component2_is_unique,component2_kappa,component2_skew,component3_angle,component3_beta,component3_is_unique,component3_kappa,component3_skew,component4_angle,component4_beta,component4_is_unique,component4_kappa,component4_skew,coupling_row_entropy_mean,coupling_row_entropy_std,coupling_row_nonuniformity,coupling_row_peak_ratio_mean,coupling_row_peak_ratio_std,design_seed,distance_type,kind,ldd_effective_rank_source,ldd_matrix_rank_source,ldd_spectral_entropy_source,ldd_variance_source,mixture_beta_max,mixture_beta_min,mixture_kappa_max,mixture_kappa_min,mixture_skew_max,mixture_skew_min,mixture_weight_1,mixture_weight_2,mixture_weight_3,mixture_weight_4,mu1_x,mu1_y,mu1_z,mu2_x,mu2_y,mu2_z,mu3_x,mu3_y,mu3_z,mu4_x,mu4_y,mu4_z,mu_layout,n_points,one_vmf_kappa,one_vmf_kappa_max,one_vmf_kappa_min,one_vmf_mu_x,one_vmf_mu_y,one_vmf_mu_z,plot_group,r_bins,r_max,r_min,radius_grid,rep,rotation_det_est,rotation_error_deg,seed_a,seed_b,seed_rot,shape_case,sinkhorn_col_marginal_max_error,sinkhorn_epsilon,sinkhorn_iter,sinkhorn_row_marginal_max_error,sinkhorn_stop_thr,sinkhorn_total_mass,sphere_norm_error_A,sphere_norm_error_B,unique_count,unique_idx
1.402183387383527,66.0,0.07340240871270949,8.43140440189354e-06,1.3891597421576518,68.0,0.0713760944845933,6.261819304625935e-06,0.005734920501708984,0.0014699866296723485,0.0006352423224598169,uniform,,,,,,,,,,,,,,,,,,,,,,,7.60085916519165,2.4531795133952983e-05,4.361480750958435e-08,1.0268696546554565,0.008160795085132122,100788,geo_arccos,uniform,1.402183387383527,66.0,0.07340240871270949,8.43140440189354e-06,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.1403336214236237,0.0001,log,10,1.0000000000000007,148.59607224669912,100028,100040,100112,baseline,1.3476437847603773e-12,0.05,2000,1.2671534828367914e-12,1e-07,0.9999999999991473,8.373635118630318e-12,1.0001999228848035e-12,-2,none
1.479440457700426,69.0,0.08504874550787214,2.166959389210643e-05,1.4391946299174099,68.0,0.07905976492639501,1.6764230512631936e-05,0.018504619598388672,0.003845602972432971,0.002968178130686283,uniform,,,,,,,,,,,,,,,,,,,,,,,7.599745273590088,0.0010633418569341302,1.157078891992569e-06,1.084937334060669,0.04330170527100563,110788,geo_arccos,uniform,1.479440457700426,69.0,0.08504874550787214,2.166959389210643e-05,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.14110638741512,0.0001,log,11,1.0000000000000002,175.13595446747172,110028,110040,110112,baseline,1.1486918187475492e-12,0.05,2000,1.4613306224819933e-12,1e-07,0.9999999999987637,1.1397771615406782e-11,1.0001999228848035e-12,-2,none
1.467678310708793,70.0,0.08331543814639626,2.5149760155149722e-05,1.4386041976901696,71.0,0.07897066159527737,1.6810555868201847e-05,0.022690774872899055,0.004198018927127123,0.003469226649031043,uniform,,,,,,,,,,,,,,,,,,,,,,,7.599400043487549,0.0014434360200539231,1.5023195883259176e-06,1.0978960990905762,0.05537886545062065,120788,geo_arccos,uniform,1.467678310708793,70.0,0.08331543814639626,2.5149760155149722e-05,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.141049874542745,0.0001,log,12,0.9999999999999991,61.603378493777534,120028,120040,120112,baseline,1.1818883545455794e-12,0.05,2000,1.2908003658995693e-12,1e-07,0.9999999999731983,7.871703289197285e-12,1.0001999228848035e-12,-2,none
1.4385378866914555,70.0,0.07896065218316234,1.4072115197461467e-05,1.450135414209519,70.0,0.08070427935819303,2.4876933015421447e-05,0.021611211821436882,0.003899741219356656,0.0029328237287700176,uniform,,,,,,,,,,,,,,,,,,,,,,,7.599980354309082,0.000982692581601441,9.198968764394522e-07,1.071103811264038,0.037374746054410934,130788,geo_arccos,uniform,1.4385378866914555,70.0,0.07896065218316234,1.4072115197461467e-05,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.140874733739474,0.0001,log,13,1.0000000000000002,153.89920734193348,130028,130040,130112,baseline,1.2245209186911854e-12,0.05,2000,1.2339569470387612e-12,1e-07,1.000000000013813,5.7610582970824e-12,1.0001999228848035e-12,-2,none
1.3985501851598365,69.0,0.07283902754073786,7.800508893934272e-06,1.4559526814196628,67.0,0.08157363030022971,1.7792707728714573e-05,0.012554645538330078,0.0025639578234404325,0.0015987458173185587,uniform,,,,,,,,,,,,,,,,,,,,,,,7.60065221786499,0.0002271871780976653,2.4986115749925377e-07,1.0456091165542603,0.02073311246931553,140788,geo_arccos,uniform,1.3985501851598365,69.0,0.07283902754073786,7.800508893934272e-06,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.1412670990008005,0.0001,log,14,1.000000000000001,101.47416495115925,140028,140040,140112,baseline,1.4092620299888114e-12,0.05,2000,1.3476437847603773e-12,1e-07,1.0000000000066507,2.0450419135897846e-11,1.000310945187266e-12,-2,none
1.4574456473411037,69.0,0.08179618377385078,1.9673957301692588e-05,1.4674223579152526,71.0,0.08327756588963438,2.6590447433002024e-05,0.025990484282374382,0.004629424773156643,0.0036958579439669847,uniform,,,,,,,,,,,,,,,,,,,,,,,7.5991950035095215,0.0014494103379547596,1.7050845781341196e-06,1.1094098091125488,0.04837139695882797,150788,geo_arccos,uniform,1.4574456473411037,69.0,0.08179618377385078,1.9673957301692588e-05,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.1409813573303884,0.0001,log,15,0.9999999999999997,121.0983788462824,150028,150040,150112,baseline,1.0918483998867412e-12,0.05,2000,1.5892283149188113e-12,1e-07,0.9999999999765805,9.869327577405329e-12,1.0001999228848035e-12,-2,none
1.435816564186656,69.0,0.07854947961532793,1.2070997733054791e-05,1.3939601539690687,66.0,0.07212517986568494,8.523031819643933e-06,0.00872802734375,0.0020611563231796026,0.001180119812488556,uniform,,,,,,,,,,,,,,,,,,,,,,,7.600732326507568,0.00012766230793204159,1.7043865227606147e-07,1.0393458604812622,0.017247818410396576,160788,geo_arccos,uniform,1.435816564186656,69.0,0.07854947961532793,1.2070997733054791e-05,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.1407459396130792,0.0001,log,16,1.0000000000000002,159.41873205342586,160028,160040,160112,baseline,1.3524186111280034e-12,0.05,2000,1.2623786564691653e-12,1e-07,0.9999999999975984,7.510769783891647e-12,1.0001999228848035e-12,-2,none
1.5163116588490086,68.0,0.09039423712805807,4.4413909765127954e-05,1.3967866048012147,67.0,0.07256503074632174,8.90756327960282e-06,0.022626878693699837,0.005358213558793068,0.003956262022256851,uniform,,,,,,,,,,,,,,,,,,,,,,,7.599773406982422,0.0009488124633207917,1.128808013163507e-06,1.0912830829620361,0.04143839702010155,170788,geo_arccos,uniform,1.5163116588490086,68.0,0.09039423712805807,4.4413909765127954e-05,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.1408465977003366,0.0001,log,17,1.0000000000000002,111.48055968257107,170028,170040,170112,baseline,1.2481678017539632e-12,0.05,2000,1.2387317734063874e-12,1e-07,0.9999999999748042,1.3220868844143752e-11,1.000310945187266e-12,-2,none
1.396723898710053,70.0,0.07255528211307208,8.46985813738276e-06,1.4317422238392021,66.0,0.07793241651328897,2.3750150257604337e-05,0.014852522872388363,0.0032275752164423466,0.0024156603030860424,uniform,,,,,,,,,,,,,,,,,,,,,,,7.600320339202881,0.0005003918195143342,5.816995981149375e-07,1.0606658458709717,0.0281673613935709,180788,geo_arccos,uniform,1.396723898710053,70.0,0.07255528211307208,8.46985813738276e-06,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.141246306899838,0.0001,log,18,0.9999999999999996,55.09810276352661,180028,180040,180112,baseline,1.2481678017539632e-12,0.05,2000,1.3239969016975994e-12,1e-07,1.0000000000197389,8.731793066374394e-12,1.000310945187266e-12,-2,none
1.4303016446108052,68.0,0.07771381900352717,1.2016736596311391e-05,1.4166051624809235,73.0,0.0756244100741518,1.1668238031474418e-05,0.00961160659790039,0.002369467169046402,0.0014187393244355917,uniform,,,,,,,,,,,,,,,,,,,,,,,7.600600719451904,0.0002198068395955488,3.017648123204708e-07,1.0483274459838867,0.017286598682403564,190788,geo_arccos,uniform,1.4303016446108052,68.0,0.07771381900352717,1.2016736596311391e-05,1.35,0.35,28.0,6.0,3.2,-3.2,,,,,,,,,,,,,,,,,baseline,2000,,8.0,4.0,,,,uniform,100,3.1413084796594157,0.0001,log,19,0.9999999999999978,141.37043851313888,190028,190040,190112,baseline,1.1392557903999734e-12,0.05,2000,1.3192220753299733e-12,1e-07,0.9999999999876792,1.176003738834197e-11,1.000310945187266e-12,-2,none
