A_ldd_effective_rank,A_ldd_spectral_entropy,A_ldd_variance,B_ldd_effective_rank,B_ldd_spectral_entropy,B_ldd_variance,LDD_cost_P,LDD_cost_uniform,LDD_gain_over_uniform,M_max,M_mean,M_std,Q_inverse_entropy_mean,Q_inverse_entropy_std,Q_peak_ratio_mean,Q_peak_ratio_std,R_energy,case,distance_type,ldd_effective_rank_mean,ldd_spectral_entropy_mean,ldd_variance_floor,ldd_variance_mean,n_points,r_bins,r_max,r_min,rep,sampling_mode,seed_a,seed_b,seed_rot,sinkhorn_epsilon
1.2107162953547028,0.19121216408981356,0.0033305895049124956,1.1879899681287414,0.17226277656872335,0.0031473569106310606,0.02946358732879162,0.6517572402954102,0.9547936171519366,8.007781982421875,0.6517572999000549,0.9439762830734253,1.210144281387329,0.24074846506118774,8.916348457336426,31.224166870117188,0.0026333038806915284,isotropic_vmf,euc,1.199353131741722,0.18173747032926846,0.0001,0.003238973207771778,2000,100,1.9479797572226476,0.0001,4,independent,40017,40029,40101,0.05
1.2112819583412833,0.19167926847025824,0.005877344869077206,1.2108929553049745,0.19135806702649677,0.006100732367485762,0.028191057965159416,1.1985899209976196,0.9764798139286077,17.98920440673828,1.1985899209976196,1.7492797374725342,1.504425048828125,10.519700050354004,13.183310508728027,60.476226806640625,0.004203621387481689,isotropic_vmf,eol,1.211087456823129,0.1915186677483775,0.0001,0.005989038618281484,2000,100,3.9305967244137907,0.0001,0,independent,17,29,101,0.05
1.197202198746671,0.1799873335689527,0.00598205765709281,1.1943233628393595,0.17757980145298355,0.006320939399302006,0.0311044342815876,1.2335643768310547,0.9747849120274591,15.140267372131348,1.2335642576217651,1.7532415390014648,1.2697399854660034,0.24813111126422882,11.489843368530273,32.6682014465332,0.003547475337982178,isotropic_vmf,eol,1.1957627807930153,0.17878356751096813,0.0001,0.006151498528197408,2000,100,3.885419515344782,0.0001,1,independent,10017,10029,10101,0.05
1.2038780339836004,0.18554804107729622,0.006088619586080313,1.218313536188326,0.19746755503498267,0.006157557480037212,0.026890210807323456,1.2247352600097656,0.9780440625126535,18.05396842956543,1.2247353792190552,1.7735331058502197,1.2808669805526733,0.6503998041152954,12.451501846313477,54.24608612060547,0.003949033260345459,isotropic_vmf,eol,1.2110957850859632,0.19150779805613943,0.0001,0.0061230885330587626,2000,100,3.9780670803359444,0.0001,2,independent,20017,20029,20101,0.05
1.1795777763450304,0.16515655778916477,0.005961440037935972,1.24560974719255,0.2196251668061268,0.006590644363313913,0.03182625025510788,1.2559443712234497,0.9746595064364952,18.17351531982422,1.2559444904327393,1.8109352588653564,1.2806934118270874,0.6010867953300476,12.57455825805664,54.5444450378418,0.003925041675567627,isotropic_vmf,eol,1.2125937617687903,0.1923908622976458,0.0001,0.006276042200624943,2000,100,3.9891258765337234,0.0001,3,independent,30017,30029,30101,0.05
1.2109677173903763,0.19141980640421444,0.006238674279302359,1.188450836639499,0.17265064107232106,0.005897190421819687,0.035555437207221985,1.221023678779602,0.9708806325174961,14.968664169311523,1.221023678779602,1.768467664718628,1.270615577697754,0.28603488206863403,11.955565452575684,39.74599075317383,0.0036995077133178712,isotropic_vmf,eol,1.1997092770149376,0.18203522373826775,0.0001,0.006067932350561023,2000,100,3.794625134549205,0.0001,4,independent,40017,40029,40101,0.05
2.081219687133712,0.7329541098999913,0.0003331145562697202,2.1806619189815675,0.7796284632743126,0.00034432331449352205,0.02722460962831974,0.06778726726770401,0.598381661842114,0.7964100241661072,0.06778726726770401,0.08299898356199265,1.0468446016311646,0.07662641257047653,4.156319618225098,13.39852523803711,0.0005316613912582398,vmf_mixture,geo,2.1309408030576398,0.756291286587152,0.0001,0.0003387189353816211,2000,100,3.1413527671033084,0.0001,0,independent,17,29,101,0.05
2.312542747903754,0.8383476758135887,0.00037042234907858074,2.033371373860015,0.7096951907919,0.0003260192461311817,0.028352517634630203,0.0698235034942627,0.5939402032875665,0.5930767059326172,0.06982351094484329,0.08385757356882095,1.047247052192688,0.06770555675029755,3.9848384857177734,7.632436275482178,0.0004812617301940918,vmf_mixture,geo,2.1729570608818847,0.7740214333027444,0.0001,0.0003482207976048812,2000,100,3.1411446190558747,0.0001,1,independent,10017,10029,10101,0.05
1.898766922848325,0.6412046875139743,0.00032080215169116855,2.026628287861903,0.7063734702204152,0.00034043911728076637,0.025288237258791924,0.06612903624773026,0.6175925328163256,0.670295774936676,0.06612902879714966,0.08375784754753113,1.0471508502960205,0.0728379487991333,3.988253116607666,10.113066673278809,0.0005176206231117249,vmf_mixture,geo,1.962697605355114,0.6737890788671947,0.0001,0.00033062063448596746,2000,100,3.141407367632991,0.0001,2,independent,20017,20029,20101,0.05
2.0512349415796214,0.7184420223005784,0.0003283956029918045,1.8600694688339483,0.6206138358631156,0.0003166169044561684,0.025334510952234268,0.0646480992436409,0.6081166925456623,0.5820622444152832,0.0646480917930603,0.08236675709486008,1.04551100730896,0.07048573344945908,3.9207260608673096,8.693289756774902,0.000490929365158081,vmf_mixture,geo,1.9556522052067848,0.669527929081847,0.0001,0.00032250625372398645,2000,100,3.1414822189246787,0.0001,3,independent,30017,30029,30101,0.05
2.3491492887796035,0.8540532578418848,0.0003576615999918431,2.062927136357748,0.7241259142010743,0.00031941302586346865,0.028537672013044357,0.0677187442779541,0.5785853338344489,0.6329855918884277,0.0677187517285347,0.08035383373498917,1.0453287363052368,0.06524937599897385,4.113369464874268,9.327720642089844,0.00047675541043281554,vmf_mixture,geo,2.206038212568676,0.7890895860214795,0.0001,0.0003385373129276559,2000,100,3.1411937344680747,0.0001,4,independent,40017,40029,40101,0.05
2.0033691599512453,0.694830343222216,0.0002897619269788265,2.103494687043052,0.7436000982753663,0.00029977125814184546,0.025517411530017853,0.05898793786764145,0.5674130601535108,0.7048642635345459,0.05898794159293175,0.07215749472379684,1.039668083190918,0.06411834806203842,3.7346720695495605,11.670136451721191,0.00043129664659500124,vmf_mixture,euc,2.0534319234971488,0.7192152207487912,0.0001,0.000294766592560336,2000,100,1.9999999856126185,0.0001,0,independent,17,29,101,0.05
2.199641490152161,0.7882943880632611,0.00032358913449570537,1.9541836944996391,0.6699725586695517,0.0002843329857569188,0.02646753005683422,0.06095551326870918,0.5657893988988684,0.5229782462120056,0.060955509543418884,0.07320228219032288,1.040269136428833,0.05686964467167854,3.5857961177825928,6.296380996704102,0.00039191994071006774,vmf_mixture,euc,2.0769125923259,0.7291334733664064,0.0001,0.0003039610601263121,2000,100,1.9999999498152645,0.0001,1,independent,10017,10029,10101,0.05
1.8672941680976136,0.6244904140642471,0.00028046523220837116,1.9589887048536656,0.672428373174299,0.0002974006056319922,0.02401181496679783,0.05779070034623146,0.584503824612957,0.5989446640014648,0.05779069662094116,0.07285711914300919,1.0400338172912598,0.061332665383815765,3.622877359390259,8.74881362915039,0.00042229896783828737,vmf_mixture,euc,1.9131414364756396,0.6484593936192731,0.0001,0.0002889329189201817,2000,100,1.9999999914162785,0.0001,2,independent,20017,20029,20101,0.05
1.9724369269613233,0.679269797034665,0.00028599772485904396,1.8130085253008534,0.5949876340787312,0.00027639168547466397,0.023960350081324577,0.056359052658081055,0.5748624408808437,0.512641191482544,0.05635905638337135,0.07154306769371033,1.038443684577942,0.05896315351128578,3.5534651279449463,7.440730571746826,0.0003966553807258606,vmf_mixture,euc,1.8927227261310884,0.637128715556698,0.0001,0.00028119470516685396,2000,100,1.9999999969500462,0.0001,3,independent,30017,30029,30101,0.05
