A_ldd_effective_rank,A_ldd_spectral_entropy,A_ldd_variance,B_ldd_effective_rank,B_ldd_spectral_entropy,B_ldd_variance,LDD_cost_P,LDD_cost_uniform,LDD_gain_over_uniform,M_max,M_mean,M_std,Q_inverse_entropy_mean,Q_inverse_entropy_std,Q_peak_ratio_mean,Q_peak_ratio_std,R_energy,case,distance_type,kappa_1,kappa_2,kappa_3,kappa_4,kind,ldd_effective_rank_mean,ldd_spectral_entropy_mean,ldd_variance_mean,mask_label,mix_base_kappa,n_points,one_mode_kappa,plot_group,r_bins,r_max,r_min,rep,seed_a,seed_b,seed_rot,sinkhorn_epsilon,uniqueness_level,weight_1,weight_2,weight_3,weight_4
1.2119343111644802,0.19221768746914492,0.0025443595368415117,1.2330050565610446,0.2094543251965431,0.002614008728414774,0.034311361610889435,0.5162744522094727,0.9335404619305703,5.620095729827881,0.5162743926048279,0.6850035190582275,1.203418254852295,0.14895741641521454,8.321370124816895,13.146300315856934,0.0031186604499816896,mix_u0,euc,18.0,18.0,18.0,18.0,mixture,1.2224696838627624,0.200836006332844,0.002579184132628143,none,18.0,1200,4.0,mix_u0,100,1.764753228238559,0.0001,0,1017,1029,1101,0.05,0,0.25,0.25,0.25,0.25
1.2469625730360623,0.22071065264368292,0.0027010526973754168,1.2461207987425118,0.2200353648975388,0.0025377776473760605,0.03531070053577423,0.5252930521965027,0.9327790451670297,6.046008586883545,0.5252929925918579,0.7088108062744141,1.2107921838760376,0.19090785086154938,9.252223014831543,18.137346267700195,0.00356077512105306,mix_u0,euc,18.0,18.0,18.0,18.0,mixture,1.246541685889287,0.22037300877061086,0.0026194151723757386,none,18.0,1200,4.0,mix_u0,100,1.8840600290555385,0.0001,1,11017,11029,11101,0.05,0,0.25,0.25,0.25,0.25
1.2399601900072679,0.21507927426872586,0.0026117945089936256,1.2186020138681326,0.19770431143891087,0.0025609522126615047,0.032547470182180405,0.5174914002418518,0.9371052926348743,7.279613018035889,0.5174914002418518,0.7025460600852966,1.208010196685791,0.2061714380979538,8.789752960205078,20.70106315612793,0.0035279842217763265,mix_u0,euc,18.0,18.0,18.0,18.0,mixture,1.2292811019377003,0.20639179285381837,0.002586373360827565,none,18.0,1200,4.0,mix_u0,100,1.9217905522505196,0.0001,2,21017,21029,21101,0.05,0,0.25,0.25,0.25,0.25
1.2784939593800495,0.24568279096676487,0.00248688249848783,1.2338862403317643,0.21016873349601523,0.0027247725520282984,0.03637141361832619,0.5221425294876099,0.9303419821901536,6.237798690795898,0.5221424698829651,0.703890860080719,1.2098489999771118,0.1978221833705902,9.206427574157715,21.176528930664062,0.0035955516497294107,mix_u0,euc,18.0,18.0,18.0,18.0,mixture,1.2561900998559068,0.22792576223139005,0.0026058275252580643,none,18.0,1200,4.0,mix_u0,100,1.8706520179328017,0.0001,3,31017,31029,31101,0.05,0,0.25,0.25,0.25,0.25
1.2438285337281516,0.21819415019325064,0.0025957287289202213,1.2789427784311267,0.24603378229261028,0.0025624267291277647,0.03644021600484848,0.5176131725311279,0.9295995196052376,6.546383857727051,0.5176131129264832,0.697776734828949,1.2084035873413086,0.18730252981185913,9.428791999816895,23.654823303222656,0.003517443339029948,mix_u0,euc,18.0,18.0,18.0,18.0,mixture,1.2613856560796393,0.23211396624293046,0.002579077729023993,none,18.0,1200,4.0,mix_u0,100,1.9034849137388998,0.0001,4,41017,41029,41101,0.05,0,0.25,0.25,0.25,0.25
1.2464866548956623,0.22032891786372594,0.0025173125322908163,1.2602449637287636,0.23130611772486057,0.0022528122644871473,0.03740429878234863,0.4787890911102295,0.9218772952917234,5.211344242095947,0.47878915071487427,0.632435142993927,1.1977729797363281,0.14946161210536957,8.435522079467773,14.592015266418457,0.00304126779238383,mix_u1_1,geo,12.0,18.0,18.0,18.0,mixture,1.2533658093122129,0.22581751779429327,0.002385062398388982,1,18.0,1200,4.0,mix_u1,100,2.35013773827495,0.0001,0,1124,1136,1208,0.05,1,0.22,0.26,0.26,0.26
1.2878320944898443,0.25296025776344494,0.0023271406535059214,1.3092380337914875,0.2694453143927001,0.002316840924322605,0.03662688285112381,0.46457695960998535,0.9211607848958496,6.09449577331543,0.46457695960998535,0.620597243309021,1.2023212909698486,0.2097703367471695,9.551279067993164,27.769853591918945,0.0035462252298990886,mix_u1_1,geo,12.0,18.0,18.0,18.0,mixture,1.2985350641406659,0.2612027860780725,0.0023219907889142632,1,18.0,1200,4.0,mix_u1,100,2.5350487353784237,0.0001,1,11124,11136,11208,0.05,1,0.22,0.26,0.26,0.26
1.3570126956607602,0.30528573649117896,0.0022735355887562037,1.2751381211632113,0.243054503067171,0.002365716500207782,0.03662391006946564,0.464061439037323,0.9210796093175928,7.354973316192627,0.4640614688396454,0.6365878582000732,1.216792345046997,0.6281054019927979,10.014863014221191,37.531551361083984,0.004010833104451497,mix_u1_1,geo,12.0,18.0,18.0,18.0,mixture,1.3160754084119857,0.274170119779175,0.0023196260444819927,1,18.0,1200,4.0,mix_u1,100,2.7143089703440633,0.0001,2,21124,21136,21208,0.05,1,0.22,0.26,0.26,0.26
1.3007099524595611,0.2629102326763064,0.0023587036412209272,1.3304840262028972,0.2855428055032557,0.0023053453769534826,0.038901668041944504,0.4681608974933624,0.9169053454694045,5.740624904632568,0.4681608974933624,0.6288943886756897,1.202662706375122,0.18599773943424225,9.874685287475586,24.849456787109375,0.0035251760482788086,mix_u1_1,geo,12.0,18.0,18.0,18.0,mixture,1.3155969893312291,0.2742265190897811,0.002332024509087205,1,18.0,1200,4.0,mix_u1,100,2.364223695534568,0.0001,3,31124,31136,31208,0.05,1,0.22,0.26,0.26,0.26
1.2739160357986512,0.24209564901155609,0.0023381279315799475,1.2947249992001646,0.25829831677082044,0.002455011708661914,0.04528458043932915,0.48768582940101624,0.9071439486052969,5.782034397125244,0.48768579959869385,0.6456053853034973,1.2038737535476685,0.19810311496257782,9.578814506530762,24.640796661376953,0.0035553332169850666,mix_u1_1,geo,12.0,18.0,18.0,18.0,mixture,1.284320517499408,0.25019698289118825,0.0023965698201209307,1,18.0,1200,4.0,mix_u1,100,2.3704264128570642,0.0001,4,41124,41136,41208,0.05,1,0.22,0.26,0.26,0.26
